	observed_otus
TW-CO-002	145
TW-BT-001	175
TW-CA-002	107
TW-BD-002	102
TW-AV-001	286
TW-BS-002	70
TW-BJ-001	218
TW-CC-002	250
TW-BU-002	143
TW-BO-002	105
TW-BK-001	158
TW-AW-001	160
TW-AX-002	171
TW-BG-001	36
TW-CH-002	27
TW-AW-002	166
TW-BZ-002	199
TW-BD-001	40
TW-AG-001	53
TW-CV-001	14
TW-CK-001	21
TW-CU-002	86
TW-AO-001	31
TW-AE-002	170
TW-BQ-001	114
TW-AF-001	128
TW-CF-001	188
TW-CT-001	32
TW-BM-002	189
TW-DA-002	69
TW-DP-002	51
TW-BG-002	126
TW-BO-001	162
TW-CE-001	128
TW-CN-002	126
TW-EE-002	20
TW-CW-002	198
TW-CY-002	123
TW-CE-002	179
TW-BN-002	113
TW-CO-001	58
TW-CZ-001	126
TW-AT-002	117
TW-AP-001	87
TW-DZ-002	38
TW-AI-001	192
TW-DX-001	85
TW-DJ-001	46
TW-DQ-001	28
TW-AZ-001	105
TW-DU-002	29
TW-DK-001	33
TW-BZ-001	26
TW-AV-002	18
TW-CQ-001	226
TW-AN-001	172
TW-EH-002	202
TW-CG-001	216
TW-BE-002	20
TW-EE-001	276
TW-CN-001	24
TW-BN-001	185
TW-CF-002	130
TW-CQ-002	260
TW-BT-002	140
TW-DR-001	234
TW-DA-001	152
TW-DU-001	20
TW-AR-001	86
TW-CB-002	9
TW-BV-001	110
TW-AK-001	198
TW-AY-002	13
TW-AX-001	90
TW-AG-002	163
TW-AU-001	162
TW-DG-002	66
TW-BE-001	15
TW-DS-001	25
TW-BJ-002	178
TW-AI-002	87
TW-AU-002	109
TW-AN-002	108
TW-BL-001	89
TW-CP-002	58
TW-BA-002	115
TW-AP-002	46
TW-BS-001	144
TW-AA-002	133
TW-AY-001	200
TW-BL-002	27
TW-DY-002	66
TW-DM-002	18
TW-AF-002	50
TW-DB-001	136
TW-AQ-001	87
TW-CS-002	181
TW-BI-002	70
TW-CA-001	187
TW-BQ-002	175
TW-BA-001	67
TW-AM-002	171
TW-AT-001	290
TW-AM-001	72
TW-DG-001	85
TW-CB-001	169
TW-CC-001	94
TW-BU-001	322
TW-CW-001	144
TW-DQ-002	65
TW-DZ-001	57
TW-DB-002	78
TW-AZ-002	54
TW-AK-002	146
TW-CI-001	281
CIR57-001	57
CIR42-002	102
CIR55-003	186
CIR61-001	12
CIR32-002	18
CIR51-001	122
CIR5-006	71
CIR55-004	124
CIR21-002	76
CIR53-001	95
CIR51-004	59
CIR32-001	64
CIR60-003	55
CIR6-001	164
CIR54-002	159
CIR52-003	46
CIR54-001	83
CIR16-001	275
CIR58-002	97
CIR16-002	13
CIR23-001	187
CIR58-001	118
CIR7-002	35
CIR21-001	188
CIR41-002	48
CIR26-001	189
CIR22-002	162
CIR52-001	80
CIR53-002	46
CIR60-001	157
CIR60-002	39
CIR51-003	252
CIR19-002	48
CIR18-001	237
CIR4-002	110
CIR57-002	85
CIR42-001	21
CIR61-002	158
CIR20-001	119
CIR20-002	5
CIR51-005	225
CIR4-003	152
CIR18-002	219
CIR41-001	90
CIR63-002	115
CIR19-001	17
CIR5-001	34
CIR55-002	202
CIR26-002	127
CIR5-002	45
CIR55-001	155
CIR7-001	170
